"","adjacent_non_tumor","Tumor"
"GSM5570968",0,1
"GSM5570969",0,1
"GSM5570970",0,1
"GSM5570971",1,0
"GSM5570972",0,1
"GSM5570973",0,1
"GSM5570974",1,0
"GSM5570975",0,1
"GSM5570976",0,1
"GSM5570977",0,1
"GSM5570978",1,0
"GSM5570979",0,1
"GSM5570980",0,1
"GSM5570981",0,1
"GSM5570982",1,0
"GSM5570983",0,1
"GSM5570984",0,1
"GSM5570985",1,0
"GSM5570986",1,0
"GSM5570987",0,1
"GSM5570988",0,1
"GSM5570989",1,0
"GSM5570990",1,0
"GSM5570991",1,0
"GSM5570992",1,0
"GSM5570993",0,1
"GSM5570994",0,1
"GSM5570995",1,0
"GSM5570996",1,0
"GSM5570997",0,1
"GSM5570998",0,1
"GSM5570999",1,0
"GSM5571000",0,1
"GSM5571001",0,1
"GSM5571002",1,0
"GSM5571003",1,0
"GSM5571004",0,1
"GSM5571005",0,1
"GSM5571006",0,1
"GSM5571007",1,0
"GSM5571008",0,1
"GSM5571009",0,1
"GSM5571010",0,1
"GSM5571011",0,1
"GSM5571012",0,1
"GSM5571013",1,0
"GSM5571014",0,1
"GSM5571015",0,1
"GSM5571016",0,1
"GSM5571017",1,0
"GSM5571018",0,1
"GSM5571019",0,1
"GSM5571020",0,1
"GSM5571021",1,0
"GSM5571022",0,1
"GSM5571023",0,1
"GSM5571024",1,0
"GSM5571025",1,0
"GSM5571026",0,1
"GSM5571027",0,1
"GSM5571028",1,0
"GSM5571029",1,0
"GSM5571030",0,1
"GSM5571031",0,1
"GSM5571032",1,0
"GSM5571033",1,0
"GSM5571034",1,0
"GSM5571035",1,0
"GSM5571036",0,1
"GSM5571037",0,1
"GSM5571038",1,0
"GSM5571039",1,0
"GSM5571040",0,1
"GSM5571041",1,0
"GSM5571042",1,0
"GSM5571043",0,1
"GSM5571044",0,1
"GSM5571045",1,0
"GSM5571046",1,0
"GSM5571047",0,1
"GSM5571048",0,1
"GSM5571049",1,0
"GSM5571050",1,0
"GSM5571051",0,1
"GSM5571052",0,1
"GSM5571053",0,1
"GSM5571054",0,1
"GSM5571055",1,0
"GSM5571056",1,0
"GSM5571057",0,1
"GSM5571058",0,1
"GSM5571059",1,0
"GSM5571060",1,0
"GSM5571061",0,1
"GSM5571062",0,1
"GSM5571063",1,0
"GSM5571064",1,0
"GSM5571065",0,1
"GSM5571066",0,1
"GSM5571067",1,0
"GSM5571068",1,0
"GSM5571069",0,1
"GSM5571070",0,1
"GSM5571071",1,0
"GSM5571072",1,0
"GSM5571073",0,1
"GSM5571074",0,1
"GSM5571075",1,0
"GSM5571076",1,0
"GSM5571077",1,0
"GSM5571078",1,0
"GSM5571079",0,1
"GSM5571080",0,1
"GSM5571081",1,0
"GSM5571082",1,0
"GSM5571083",0,1
"GSM5571084",0,1
"GSM5571085",1,0
"GSM5571086",1,0
"GSM5571087",0,1
"GSM5571088",0,1
"GSM5571089",1,0
"GSM5571090",1,0
"GSM5571091",0,1
"GSM5571092",0,1
"GSM5571093",1,0
"GSM5571094",1,0
"GSM5571095",0,1
"GSM5571096",0,1
"GSM5571097",0,1
"GSM5571098",0,1
"GSM5571099",1,0
"GSM5571100",0,1
"GSM5571101",0,1
"GSM5571102",0,1
"GSM5571103",1,0
"GSM5571104",0,1
"GSM5571105",1,0
"GSM5571106",0,1
"GSM5571107",1,0
"GSM5571108",0,1
"GSM5571109",1,0
"GSM5571110",0,1
"GSM5571111",1,0
"GSM5571112",1,0
"GSM5571113",1,0
"GSM5571114",0,1
"GSM5571115",1,0
"GSM5571116",0,1
"GSM5571117",1,0
"GSM5571118",0,1
"GSM5571119",1,0
"GSM5571120",0,1
"GSM5571121",1,0
"GSM5571122",0,1
"GSM5571123",0,1
"GSM5571124",1,0
"GSM5571125",0,1
"GSM5571126",1,0
"GSM5571127",0,1
"GSM5571128",0,1
"GSM5571129",1,0
"GSM5571130",0,1
"GSM5571131",1,0
"GSM5571132",0,1
"GSM5571133",0,1
"GSM5571134",1,0
"GSM5571135",0,1
"GSM5571136",1,0
"GSM5571137",0,1
"GSM5571138",1,0
"GSM5571139",0,1
"GSM5571140",0,1
"GSM5571141",1,0
"GSM5571142",0,1
"GSM5571143",1,0
"GSM5571144",0,1
"GSM5571145",0,1
"GSM5571146",0,1
"GSM5571147",1,0
"GSM5571148",0,1
"GSM5571149",1,0
"GSM5571150",0,1
"GSM5571151",0,1
"GSM5571152",1,0
"GSM5571153",0,1
"GSM5571154",0,1
"GSM5571155",0,1
"GSM5571156",1,0
"GSM5571157",0,1
"GSM5571158",1,0
"GSM5571159",0,1
"GSM5571160",1,0
"GSM5571161",0,1
"GSM5571162",0,1
"GSM5571163",0,1
"GSM5571164",1,0
"GSM5571165",0,1
"GSM5571166",1,0
"GSM5571167",0,1
"GSM5571168",0,1
"GSM5571170",1,0
"GSM5571172",0,1
"GSM5571173",1,0
"GSM5571174",0,1
"GSM5571176",0,1
"GSM5571177",0,1
"GSM5571178",1,0
"GSM5571179",0,1
"GSM5571180",1,0
"GSM5571181",0,1
"GSM5571182",0,1
"GSM5571183",1,0
"GSM5571184",0,1
"GSM5571185",1,0
"GSM5571186",0,1
"GSM5571187",0,1
"GSM5571188",1,0
"GSM5571189",0,1
"GSM5571190",0,1
"GSM5571191",1,0
"GSM5571192",0,1
"GSM5571193",0,1
"GSM5571194",1,0
"GSM5571195",0,1
"GSM5571196",0,1
"GSM5571197",0,1
"GSM5571198",1,0
"GSM5571199",1,0
"GSM5571200",0,1
"GSM5571201",1,0
"GSM5571202",0,1
"GSM5571203",1,0
"GSM5571204",0,1
"GSM5571205",0,1
"GSM5571206",1,0
"GSM5571207",0,1
"GSM5571208",1,0
"GSM5571209",0,1
"GSM5571210",1,0
"GSM5571211",0,1
